Intent,Query,Predicted_Intent
academic_renewal_info,What is academic renewal and will UCSD honor it?,academic_renewal_info
academic_renewal_info,Does UCSD accept grades that have been cleared by academic renewal?,academic_renewal_info
academic_renewal_info,Will academic renewal remove old grades from my UCSD transfer GPA?,academic_renewal_info
add_completed_course,I just finished Math 7 with a B—can you update my record?,add_completed_course
add_completed_course,Please add Math 7 (grade B) to my completed courses.,schedule_builder
add_completed_course,Update my profile: Math 7 completed with a B.,add_completed_course
agent_capabilities,What kinds of things can you help me with?,agent_capabilities
agent_capabilities,List the main features you provide.,agent_capabilities
agent_capabilities,How can this chatbot assist my transfer planning?,agent_capabilities
agent_identity,Who are you?,agent_identity
agent_identity,Are you a human or an AI assistant?,agent_identity
agent_identity,What is TransferAI?,agent_identity
ap_credit_policy,Does a 4 on AP Calc BC satisfy any UCSD math requirements?,ap_credit_policy
ap_credit_policy,Will UCSD give credit for a 4 on AP Calc BC?,ap_credit_policy
ap_credit_policy,How does a 4 on AP Calc BC count toward IGETC or UCSD units?,ap_credit_policy
application_deadline,When is the UC transfer application due?,application_deadline
application_deadline,What’s the deadline to apply to UCSD as a transfer?,application_deadline
application_deadline,What is the final date to submit the UC application?,application_deadline
course_equivalency,What does Math 7 at SMC transfer as at UCSD?,course_equivalency
course_equivalency,Is SMC Math 7 equivalent to any UCSD course?,course_equivalency
course_equivalency,How does Math 7 articulate to UCSD?,course_equivalency
course_plan_for_major,Map out a 4-semester plan to transfer to UCSD for biology.,course_plan_for_major
course_plan_for_major,Create a term-by-term plan for UCSD biology transfer.,course_plan_for_major
course_plan_for_major,Give me a two-year course roadmap for UCSD biology.,course_plan_for_major
course_prerequisite,What do I need before I can take CS 54?,course_prerequisite
course_prerequisite,Are there any prerequisites for CS 54?,course_prerequisite
course_prerequisite,Which courses must I complete to enroll in CS 54?,course_prerequisite
course_schedule_details,When is Math 7 offered this fall?,next_course_recommendation
course_schedule_details,Show all fall sections of Math 7 with times.,course_schedule_details
course_schedule_details,Who teaches Math 7 in the upcoming term?,course_schedule_details
fee_info,How much does the UC application cost?,fee_info
